,,,,,,,DATE,2025/11/29,,,,,,,,,,,,,,,,,,,,
,,,,,,,ANALYST,IE Engineer,,,,,,,,,,,,,,,,,,,,
,,,,,,,MODEL,K860G6-BASY v1.3,,,,,,,,,,,,,,,,,,,,
,,SUB_acitivities,Key Parts,"STEP
NO.","HAND
R/L","METHOD STEP DESCRIPTION
获得控制 对象 （从地点）[放/移动/启动]  [定位/地点]",SEQUENCE MODELS,,,,,,,,,,,,,,Freq.,SIMO,TMU,,,,,,,
,,,关键部件,步骤,手,获得控制 对象 （从地点）[放/移动/启动]  [定位/地点],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,                              G                          A                 [P/M/X]                        A,Get,,,,,,,,Put/Move/Actuate,,,,Return,,,,,,,,,,,
,,拿取風槍清潔放置DIMM材料盒的DIMM,DIMM,1,BH,雙手從料架拿取DIMM材料盒放到潔淨棚的工作台,A,16,B,0,G,1,A,6,B,0,P,3,A,0,1,N,260,,,,,,,
,,,DIMM,2,LH,左手抓握DIMM材料盒保持住,A,3,B,0,G,1,A,0,B,0,P,0,A,0,1,N,40,,,,,,,
,,,DIMM,3,RH,右手抓握風槍按動按鈕並吹風清潔DIMM,A,6,B,0,G,1,A,0,B,0,P,1,A,0,1,N,80,,,,,,,
,,,DIMM,4,RH,右手抓握風槍放風槍到規定位置處,A,3,B,0,G,1,A,6,B,0,P,1,A,0,1,N,110,,,,,,,
,,,DIMM,5,LH,左手抓握DIMM材料盒放DIMM材料盒到規定位置處,A,3,B,0,G,1,A,6,B,0,P,1,A,0,1,N,110,,,,,,,
,,拿取主板，去除包裝袋，將主板放置工作台,主板,1,RH,右手從料架拿取主板保持住,A,16,B,0,G,3,A,0,B,0,P,0,A,0,1,N,190,,,,,,,
,,,主板,2,LH,左手抓握主板的包装袋去除,A,3,B,0,G,1,M,3,X,0,I,0,A,0,1,N,70,,,,,,,
,,,主板,3,LH,左手重新抓握主板的包装袋放到垃圾桶,A,3,B,0,G,1,A,10,B,0,P,1,A,0,1,N,150,,,,,,,
,,,主板,4,BH,雙手重新抓握主板放到潔淨棚的工作台,A,3,B,0,G,1,M,6,X,0,I,3,A,3,1,N,160,,,,,,,
,,貼附Label到主板規定位置處,Label/主板,1,RH,右手從DIMM材料盒拿取Label,A,6,B,0,G,1,A,0,B,0,P,0,A,0,1,N,70,,,,,,,
,,,Label/主板,2,RH,右手對準主板規定位置貼附Label,A,3,B,0,G,0,M,3,X,0,I,3,A,0,1,N,90,,,,,,,
,,拿取風槍清潔DIMM卡槽,DIMM卡槽,1,RH,右手從規定位置拿取風槍,A,6,B,0,G,1,A,0,B,0,P,0,A,0,1,N,70,,,,,,,
,,,DIMM卡槽,2,RH,右手抓握風槍按動按鈕並吹風清潔DIMM卡槽,A,3,B,0,G,0,M,3,X,0,I,0,A,0,1,N,60,,,,,,,
,,,DIMM卡槽,3,RH,右手抓握風槍放風槍到規定位置處,A,3,B,0,G,0,A,6,B,0,P,1,A,0,1,N,100,,,,,,,
,,雙手掰開DIMM卡槽的卡扣,DIMM卡槽,1,BH,雙手接觸DIMM卡槽的左右卡扣推開並確認卡扣推到規定位置,A,3,B,0,G,1,M,1,X,0,I,1,A,0,11,N,660,,,,,,,
,,雙手拿取DIMM組於DIMM卡槽 (依據配置要求),DIMM,1,RH,右手從DIMM材料盒拿取DIMM,A,6,B,0,G,1,A,0,B,0,P,0,A,0,1,N,70,,,,,,,
,,,DIMM,2,BH,雙手對準DIMM卡槽插入DIMM,A,3,B,0,G,1,M,3,X,0,I,3,A,0,1,N,100,,,,,,,
,,,DIMM,3,BH,雙手按壓DIMM確認卡合到位,A,1,B,0,G,0,M,1,X,0,I,1,A,0,1,N,30,,,,,,,
,,拿取主板放置於DIMM壓合治具,DIMM,1,BH,雙手抓握主板,A,6,B,0,G,3,A,0,B,0,P,0,A,0,1,N,90,,,,,,,
,,,DIMM,2,BH,雙手將主板放到DIMM壓合治具的定位框,A,6,B,0,G,0,A,6,B,0,P,3,A,0,1,N,150,,,,,,,
,,確認DIMM點位，並按壓DIMM壓合治具的把手 (依據配置要求),DIMM壓合治具,1,BH,目視確認DIMM點位對準,A,3,B,0,G,0,M,0,X,0,I,3,A,0,1,N,60,,,,,,,
,,,DIMM壓合治具,2,BH,雙手按壓治具把手並等待壓合完成,A,3,B,0,G,1,M,3,X,6,I,0,A,0,1,N,130,,,,,,,
,,,DIMM壓合治具,3,BH,雙手扳開DIMM槽兩側卡扣,A,3,B,0,G,1,M,1,X,0,I,1,A,0,1,N,60,,,,,,,
,,,DIMM壓合治具,4,BH,雙手再次使用治具進行壓合,A,3,B,0,G,1,M,3,X,6,I,0,A,0,1,N,130,,,,,,,
,,雙手將主板裝入機箱,主板/機箱,1,BH,雙手從DIMM壓合治具拿取主板,A,6,B,0,G,3,A,0,B,0,P,0,A,0,1,Y,90,,,,,,,
,,,主板/機箱,2,BH,雙手將主板對準機箱定位點,A,6,B,0,G,0,M,6,X,0,I,3,A,0,1,Y,150,,,,,,,
,,,主板/機箱,3,BH,雙手將主板組到機箱內,A,3,B,0,G,0,M,3,X,0,I,3,A,3,1,Y,120,,,,,,,
,,從料架上拿取假DIMM，去除其包裝袋,假DIMM,1,RH,右手從料架拿取假DIMM,A,16,B,0,G,1,A,0,B,0,P,0,A,0,1,N,170,,,,,,,
,,,假DIMM,2,LH,左手抓握假DIMM的包裝袋去除,A,3,B,0,G,1,M,1,X,0,I,0,A,0,1,N,50,,,,,,,
,,,假DIMM,3,LH,左手抓握包裝袋丟到垃圾桶,A,3,B,0,G,0,A,10,B,0,P,1,A,0,1,N,140,,,,,,,
,,拿取假DIMM組於DIMM卡槽 (依據配置要求),假DIMM,1,RH,右手拿取假DIMM對準DIMM卡槽,A,6,B,0,G,1,A,3,B,0,P,0,A,0,1,N,100,,,,,,,
,,,假DIMM,2,BH,雙手將假DIMM插入DIMM卡槽,A,3,B,0,G,0,M,3,X,0,I,3,A,0,1,N,90,,,,,,,
,,,假DIMM,3,BH,雙手按壓假DIMM確認卡合到位,A,1,B,0,G,0,M,1,X,0,I,1,A,0,1,N,30,,,,,,,
,,雙手按壓假DIMM，並檢查是否壓合到位,假DIMM,1,BH,雙手依序按壓各假DIMM,A,3,B,0,G,1,M,1,X,0,I,1,A,0,1,N,60,,,,,,,
,,,假DIMM,2,BH,目視檢查每個假DIMM是否壓合到位且白色插槽是否全部是復位狀態,A,3,B,0,G,0,M,0,X,0,I,3,A,0,1,N,60,,,,,,,
,,拿取電動起子，依圖示鎖附兩顆螺絲,螺絲,1,RH,右手從螺絲供料器拿取電動起子,A,10,B,0,G,1,A,0,B,0,P,0,A,0,1,N,110,,,,,,,
,,,螺絲,2,RH,右手抓握電動起子滑出第一顆螺絲,A,3,B,0,G,0,M,1,X,0,I,0,A,0,1,N,40,,,,,,,
,,,螺絲,3,RH,右手將螺絲對準螺絲孔並鎖附固定,A,3,B,0,G,0,M,3,X,6,I,3,A,0,1,N,150,,,,,,,
,,,螺絲,4,RH,右手移動電動起子到第二顆螺絲位置滑出螺絲,A,6,B,0,G,0,M,1,X,0,I,0,A,0,1,N,70,,,,,,,
,,,螺絲,5,RH,右手將螺絲對準螺絲孔並鎖附固定,A,3,B,0,G,0,M,3,X,6,I,3,A,0,1,N,150,,,,,,,
,,,螺絲,6,RH,右手將電動起子放回規定位置處,A,6,B,0,G,0,A,10,B,0,P,1,A,0,1,N,170,,,,,,,
,,把耳朵線上小卡裝到耳朵殼配件內,左耳/耳朵殼,1,RH,右手從百寶箱拿取左耳(6017B1865502),A,16,B,0,G,1,A,0,B,0,P,0,A,0,1,N,170,,,,,,,
,,,左耳/耳朵殼,2,LH,左手從百寶箱拿取耳朵替代料(6017B1865501),A,16,B,0,G,1,A,0,B,0,P,0,A,0,1,N,170,,,,,,,
,,,左耳/耳朵殼,3,BH,雙手將耳朵線上小卡對準耳朵殼配件插入,A,6,B,0,G,0,M,3,X,0,I,3,A,0,1,N,120,,,,,,,
,,放入耳朵鎖附治具分別鎖附兩顆自帶螺絲,螺絲/耳朵殼,1,BH,雙手將耳朵殼放到耳朵鎖附治具(CP-1ARFASY-007),A,6,B,0,G,1,A,6,B,0,P,3,A,0,1,N,160,,,,,,,
,,,螺絲/耳朵殼,2,RH,右手從螺絲供料器拿取電動起子(3±0.2 lbf.in 十字Ø5 2#),A,10,B,0,G,1,A,0,B,0,P,0,A,0,1,N,110,,,,,,,
,,,螺絲/耳朵殼,3,RH,右手抓握電動起子滑出第一顆自帶螺絲,A,3,B,0,G,0,M,1,X,0,I,0,A,0,1,N,40,,,,,,,
,,,螺絲/耳朵殼,4,RH,右手將螺絲對準螺絲孔並鎖附固定,A,3,B,0,G,0,M,3,X,6,I,3,A,0,1,N,150,,,,,,,
,,,螺絲/耳朵殼,5,RH,右手移動電動起子到第二顆螺絲位置滑出螺絲,A,6,B,0,G,0,M,1,X,0,I,0,A,0,1,N,70,,,,,,,
,,,螺絲/耳朵殼,6,RH,右手將螺絲對準螺絲孔並鎖附固定,A,3,B,0,G,0,M,3,X,6,I,3,A,0,1,N,150,,,,,,,
,,,螺絲/耳朵殼,7,RH,右手將電動起子放回規定位置處,A,6,B,0,G,0,A,10,B,0,P,1,A,0,1,N,170,,,,,,,
,,將左耳朵殼裝到機箱外側前端,左耳朵殼/機箱,1,BH,雙手從耳朵鎖附治具拿取左耳朵殼,A,6,B,0,G,3,A,0,B,0,P,0,A,0,1,N,90,,,,,,,
,,,左耳朵殼/機箱,2,BH,雙手將左耳朵殼對準機箱外側前端定位點,A,10,B,0,G,0,M,6,X,0,I,3,A,0,1,N,190,,,,,,,
,,,左耳朵殼/機箱,3,BH,雙手將左耳朵殼組到機箱外側前端,A,3,B,0,G,0,M,3,X,0,I,3,A,0,1,N,90,,,,,,,
,,鎖附4顆自帶螺絲固定在機箱上,螺絲/機箱,1,RH,右手從螺絲供料器拿取電動起子(5±0.5 lbf.in 十字Ø5 2#),A,10,B,0,G,1,A,0,B,0,P,0,A,0,1,N,110,,,,,,,
,,,螺絲/機箱,2,RH,右手抓握電動起子滑出第一顆螺絲,A,3,B,0,G,0,M,1,X,0,I,0,A,0,1,N,40,,,,,,,
,,,螺絲/機箱,3,RH,右手將螺絲對準螺絲孔並鎖附固定(圖2位置1),A,3,B,0,G,0,M,3,X,6,I,3,A,0,1,N,150,,,,,,,
,,,螺絲/機箱,4,RH,右手移動電動起子滑出第二顆螺絲,A,6,B,0,G,0,M,1,X,0,I,0,A,0,1,N,70,,,,,,,
,,,螺絲/機箱,5,RH,右手將螺絲對準螺絲孔並鎖附固定(圖2位置2),A,3,B,0,G,0,M,3,X,6,I,3,A,0,1,N,150,,,,,,,
,,,螺絲/機箱,6,RH,右手移動電動起子滑出第三顆螺絲,A,6,B,0,G,0,M,1,X,0,I,0,A,0,1,N,70,,,,,,,
,,,螺絲/機箱,7,RH,右手將螺絲對準螺絲孔並鎖附固定(圖2位置3),A,3,B,0,G,0,M,3,X,6,I,3,A,0,1,N,150,,,,,,,
,,,螺絲/機箱,8,RH,右手移動電動起子滑出第四顆螺絲,A,6,B,0,G,0,M,1,X,0,I,0,A,0,1,N,70,,,,,,,
,,,螺絲/機箱,9,RH,右手將螺絲對準螺絲孔並鎖附固定(圖2位置4),A,3,B,0,G,0,M,3,X,6,I,3,A,0,1,N,150,,,,,,,
,,,螺絲/機箱,10,RH,右手將電動起子放回規定位置處,A,6,B,0,G,0,A,10,B,0,P,1,A,0,1,N,170,,,,,,,
,,理耳朵線到機箱內兩側線槽,耳朵線/機箱,1,BH,雙手抓握耳朵線,A,6,B,0,G,1,A,0,B,0,P,0,A,0,1,N,70,,,,,,,
,,,耳朵線/機箱,2,BH,雙手將耳朵線理到機箱內兩側線槽,A,6,B,0,G,0,M,3,X,0,I,3,A,0,1,N,120,,,,,,,
,,將左耳線插入主板接口J10,左耳線/主板,1,RH,右手抓握左耳線接頭,A,6,B,0,G,1,A,0,B,0,P,0,A,0,1,N,70,,,,,,,
,,,左耳線/主板,2,RH,右手將左耳線對準主板接口J10,A,6,B,0,G,0,M,3,X,0,I,3,A,0,1,N,120,,,,,,,
,,,左耳線/主板,3,RH,右手將左耳線插入主板接口J10並確認卡合,A,3,B,0,G,0,M,3,X,0,I,3,A,0,1,N,90,,,,,,,
,,在左耳外側粘貼RFID標籤(使用治具輔助),RFID標籤/左耳,1,RH,右手從材料盒拿取RFID標籤(6060B3877901),A,10,B,0,G,1,A,0,B,0,P,0,A,0,1,N,110,,,,,,,
,,,RFID標籤/左耳,2,RH,右手將RFID標籤撕除離型紙,A,3,B,0,G,0,M,1,X,0,I,0,A,0,1,N,40,,,,,,,
,,,RFID標籤/左耳,3,LH,左手抓握離型紙丟到垃圾桶,A,3,B,0,G,0,A,10,B,0,P,1,A,0,1,N,140,,,,,,,
,,,RFID標籤/左耳,4,RH,右手使用治具將RFID標籤對準紅圈凸點區域及芯片位置,A,6,B,0,G,0,M,3,X,0,I,6,A,0,1,N,150,,,,,,,
,,,RFID標籤/左耳,5,RH,右手將RFID標籤粘貼方向必須文字朝機台前面且粘貼到左耳外側,A,3,B,0,G,0,M,3,X,0,I,3,A,0,1,N,90,,,,,,,
